CATEGORIA,DENSIDADCARGA,TIPO_INSTALACION,FECHA,HORA,INTERVALO,KWHD,KWHR,KVARHR,KVAHD,KVARH_LAG,KVARHR_1,KVARH_LEAD,PHASOR_KVAH,IA,IB,IC,AVG_IA_HARMONICS,AVG_IB_HARMONICS,AVG_IC_HARMONICS,VA,VB,VC,THD_VOLT_FASE_A,THD_VOLT_FASE_B,THD_VOLT_FASE_C,THD_CORRIENTE_FASE_A,THD_CORRIENTE_FASE_B,THD_CORRIENTE_FASE_C,KWD,KWR,KVARD,KVAD,NOMINAL_VOLTAGE_NVO,PT,CT,VA_DESV,VB_DESV,VC_DESV,IA_DESV,IB_DESV,IC_DESV,VOLTAJE_PROM,VOLTAJE_DESV_MAX,VOLTAJE_DESV_PORCENTAJE,CORRIENTE_PROM,CORRIENTE_DESV_MAX
CLIENTE INDUSTRIAL,ALTA,PRIMARIA,2025-10-24 03:45:00.000000 UTC,3,03:45,6.24,0.0,0.0,6.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13320.1,13368.1,13440.1,0.02,0.02,0.02,0.34,0.19,0.38,24.96,0.0,0.0,24.96,13198.61,14400:120,50:5,121.48999999999978,169.48999999999978,241.48999999999978,0.0,0.0,0.0,13376.1,241.48999999999978,0.018296623659612623,0.0,0.0
CLIENTE INDUSTRIAL,ALTA,PRIMARIA,2025-10-12 10:45:00.000000 UTC,10,10:45,5.4,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13320.1,13428.1,13440.1,0.02,0.03,0.02,0.46,0.35,0.69,21.6,0.0,0.0,21.6,13198.61,14400:120,50:5,121.48999999999978,229.48999999999978,241.48999999999978,0.0,0.0,0.0,13396.1,241.48999999999978,0.018296623659612623,0.0,0.0
CLIENTE INDUSTRIAL,ALTA,PRIMARIA,2025-10-20 20:15:00.000000 UTC,20,20:15,7.44,0.0,0.0,7.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13296.1,13344.1,13440.1,0.03,0.03,0.03,0.45,0.28,0.46,29.76,0.0,0.0,30.24,13198.61,14400:120,50:5,97.489999999999782,145.48999999999978,241.48999999999978,0.0,0.0,0.0,13360.1,241.48999999999978,0.018296623659612623,0.0,0.0
CLIENTE INDUSTRIAL,ALTA,PRIMARIA,2025-10-17 23:15:00.000000 UTC,23,23:15,6.3,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13284.1,13344.1,13440.1,0.02,0.02,0.02,0.39,0.24,0.42,25.2,0.0,0.0,25.2,13198.61,14400:120,50:5,85.489999999999782,145.48999999999978,241.48999999999978,0.0,0.0,0.0,13356.1,241.48999999999978,0.018296623659612623,0.0,0.0
CLIENTE INDUSTRIAL,ALTA,PRIMARIA,2025-10-17 02:45:00.000000 UTC,2,02:45,5.88,0.0,0.0,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13308.1,13368.1,13440.1,0.02,0.02,0.02,0.39,0.23,0.45,23.52,0.0,0.0,23.52,13198.61,14400:120,50:5,109.48999999999978,169.48999999999978,241.48999999999978,0.0,0.0,0.0,13372.1,241.48999999999978,0.018296623659612623,0.0,0.0
CLIENTE INDUSTRIAL,ALTA,PRIMARIA,2025-10-17 03:30:00.000000 UTC,3,03:30,6.12,0.0,0.0,6.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13308.1,13368.1,13440.1,0.02,0.02,0.02,0.37,0.23,0.44,24.48,0.0,0.0,24.48,13198.61,14400:120,50:5,109.48999999999978,169.48999999999978,241.48999999999978,0.0,0.0,0.0,13372.1,241.48999999999978,0.018296623659612623,0.0,0.0
CLIENTE INDUSTRIAL,ALTA,PRIMARIA,2025-10-08 02:00:00.000000 UTC,2,02:00,5.94,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13308.1,13380.1,13440.1,0.02,0.02,0.02,0.33,0.19,0.4,23.76,0.0,0.0,24.0,13198.61,14400:120,50:5,109.48999999999978,181.48999999999978,241.48999999999978,0.0,0.0,0.0,13376.1,241.48999999999978,0.018296623659612623,0.0,0.0
CLIENTE INDUSTRIAL,ALTA,PRIMARIA,2025-10-10 20:30:00.000000 UTC,20,20:30,6.84,0.0,0.0,6.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13284.1,13308.1,13440.1,0.03,0.03,0.03,0.38,0.26,0.36,27.36,0.0,0.0,27.36,13198.61,14400:120,50:5,85.489999999999782,109.48999999999978,241.48999999999978,0.0,0.0,0.0,13344.1,241.48999999999978,0.018296623659612623,0.0,0.0
CLIENTE INDUSTRIAL,ALTA,PRIMARIA,2025-10-17 19:15:00.000000 UTC,19,19:15,8.94,0.0,0.0,8.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13296.1,13320.1,13440.1,0.03,0.03,0.03,0.42,0.27,0.42,35.76,0.0,0.0,35.76,13198.61,14400:120,50:5,97.489999999999782,121.48999999999978,241.48999999999978,0.0,0.0,0.0,13352.1,241.48999999999978,0.018296623659612623,0.0,0.0
CLIENTE INDUSTRIAL,ALTA,PRIMARIA,2025-10-04 13:30:00.000000 UTC,13,13:30,1.2,0.0,0.0,3.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13320.1,13416.1,13440.1,0.02,0.02,0.02,0.46,0.4,0.45,4.8,0.0,0.0,12.24,13198.61,14400:120,50:5,121.48999999999978,217.48999999999978,241.48999999999978,0.0,0.0,0.0,13392.1,241.48999999999978,0.018296623659612623,0.0,0.0
CLIENTE INDUSTRIAL,ALTA,PRIMARIA,2025-10-05 14:15:00.000000 UTC,14,14:15,5.76,0.0,0.0,5.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13284.1,13392.1,13440.1,0.02,0.02,0.02,0.34,0.28,0.51,23.04,0.0,0.0,23.04,13198.61,14400:120,50:5,85.489999999999782,193.48999999999978,241.48999999999978,0.0,0.0,0.0,13372.1,241.48999999999978,0.018296623659612623,0.0,0.0
CLIENTE INDUSTRIAL,ALTA,PRIMARIA,2025-10-23 00:00:00.000000 UTC,0,00:00,6.42,0.0,0.0,6.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13308.1,13356.1,13440.1,0.02,0.02,0.02,0.41,0.23,0.4,25.68,0.0,0.0,25.68,13198.61,14400:120,50:5,109.48999999999978,157.48999999999978,241.48999999999978,0.0,0.0,0.0,13368.1,241.48999999999978,0.018296623659612623,0.0,0.0
CLIENTE INDUSTRIAL,ALTA,PRIMARIA,2025-10-18 23:15:00.000000 UTC,23,23:15,6.36,0.0,0.0,6.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13284.1,13332.1,13440.1,0.02,0.02,0.02,0.35,0.21,0.4,25.44,0.0,0.0,25.44,13198.61,14400:120,50:5,85.489999999999782,133.48999999999978,241.48999999999978,0.0,0.0,0.0,13352.1,241.48999999999978,0.018296623659612623,0.0,0.0
CLIENTE INDUSTRIAL,ALTA,PRIMARIA,2025-10-03 20:00:00.000000 UTC,20,20:00,6.24,0.0,0.0,6.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13284.1,13320.1,13440.1,0.03,0.03,0.03,0.4,0.27,0.51,24.96,0.0,0.0,24.96,13198.61,14400:120,50:5,85.489999999999782,121.48999999999978,241.48999999999978,0.0,0.0,0.0,13348.1,241.48999999999978,0.018296623659612623,0.0,0.0
CLIENTE INDUSTRIAL,ALTA,PRIMARIA,2025-10-20 21:00:00.000000 UTC,21,21:00,5.82,0.0,0.0,5.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13296.1,13332.1,13440.1,0.03,0.02,0.02,0.43,0.26,0.46,23.28,0.0,0.0,23.28,13198.61,14400:120,50:5,97.489999999999782,133.48999999999978,241.48999999999978,0.0,0.0,0.0,13356.1,241.48999999999978,0.018296623659612623,0.0,0.0
CLIENTE INDUSTRIAL,ALTA,PRIMARIA,2025-10-22 22:30:00.000000 UTC,22,22:30,7.2,0.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13284.1,13332.1,13440.1,0.02,0.03,0.02,0.36,0.19,0.34,28.8,0.0,0.0,28.8,13198.61,14400:120,50:5,85.489999999999782,133.48999999999978,241.48999999999978,0.0,0.0,0.0,13352.1,241.48999999999978,0.018296623659612623,0.0,0.0
CLIENTE INDUSTRIAL,ALTA,PRIMARIA,2025-10-28 02:30:00.000000 UTC,2,02:30,7.26,0.0,0.0,7.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13236.1,13284.1,13368.1,0.02,0.02,0.02,0.4,0.28,0.44,29.04,0.0,0.0,29.28,13198.61,14400:120,50:5,37.489999999999782,85.489999999999782,169.48999999999978,0.0,0.0,0.0,13296.1,169.48999999999978,0.012841503764411538,0.0,0.0
CLIENTE INDUSTRIAL,ALTA,PRIMARIA,2025-10-09 03:30:00.000000 UTC,3,03:30,6.12,0.0,0.0,6.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13224.1,13296.1,13368.1,0.02,0.02,0.02,0.31,0.21,0.42,24.48,0.0,0.0,24.72,13198.61,14400:120,50:5,25.489999999999782,97.489999999999782,169.48999999999978,0.0,0.0,0.0,13296.1,169.48999999999978,0.012841503764411538,0.0,0.0
CLIENTE INDUSTRIAL,ALTA,PRIMARIA,2025-10-27 07:30:00.000000 UTC,7,07:30,19.98,0.0,0.0,20.22,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,13332.1,13392.1,13440.1,0.02,0.02,0.02,0.2,0.17,0.19,79.92,0.0,0.0,80.88,13198.61,14400:120,50:5,133.48999999999978,193.48999999999978,241.48999999999978,0.0,0.0,0.0,13388.1,241.48999999999978,0.018296623659612623,1.0,0.0
CLIENTE INDUSTRIAL,ALTA,PRIMARIA,2025-10-29 08:45:00.000000 UTC,8,08:45,17.58,0.0,0.0,17.7,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,13332.1,13392.1,13440.1,0.02,0.02,0.02,0.19,0.17,0.18,70.32,0.0,0.0,70.8,13198.61,14400:120,50:5,133.48999999999978,193.48999999999978,241.48999999999978,0.0,0.0,0.0,13388.1,241.48999999999978,0.018296623659612623,1.0,0.0
CLIENTE INDUSTRIAL,ALTA,PRIMARIA,2025-10-28 16:15:00.000000 UTC,16,16:15,17.16,0.0,0.0,17.22,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,13308.1,13320.1,13440.1,0.02,0.02,0.02,0.15,0.12,0.11,68.64,0.0,0.0,68.88,13198.61,14400:120,50:5,109.48999999999978,121.48999999999978,241.48999999999978,0.0,0.0,0.0,13356.1,241.48999999999978,0.018296623659612623,1.0,0.0
CLIENTE INDUSTRIAL,ALTA,PRIMARIA,2025-10-16 10:30:00.000000 UTC,10,10:30,19.02,0.0,0.0,19.02,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,13320.1,13416.1,13440.1,0.02,0.02,0.03,0.2,0.2,0.19,76.08,0.0,0.0,76.08,13198.61,14400:120,50:5,121.48999999999978,217.48999999999978,241.48999999999978,0.0,0.0,0.0,13392.1,241.48999999999978,0.018296623659612623,1.0,0.0
CLIENTE INDUSTRIAL,ALTA,PRIMARIA,2025-10-29 09:15:00.000000 UTC,9,09:15,18.36,0.0,0.0,18.3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,13332.1,13404.1,13440.1,0.02,0.02,0.02,0.2,0.16,0.17,73.44,0.0,0.0,73.2,13198.61,14400:120,50:5,133.48999999999978,205.48999999999978,241.48999999999978,0.0,0.0,0.0,13392.1,241.48999999999978,0.018296623659612623,1.0,0.0
CLIENTE INDUSTRIAL,ALTA,PRIMARIA,2025-10-20 06:00:00.000000 UTC,6,06:00,13.62,0.0,0.0,13.68,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,13296.1,13380.1,13440.1,0.02,0.02,0.02,0.16,0.1,0.13,54.48,0.0,0.0,54.72,13198.61,14400:120,50:5,97.489999999999782,181.48999999999978,241.48999999999978,0.0,0.0,0.0,13372.1,241.48999999999978,0.018296623659612623,1.0,0.0
CLIENTE INDUSTRIAL,ALTA,PRIMARIA,2025-10-30 12:45:00.000000 UTC,12,12:45,18.9,0.0,0.0,18.9,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,13308.1,13404.1,13440.1,0.02,0.02,0.02,0.21,0.17,0.17,75.6,0.0,0.0,75.6,13198.61,14400:120,50:5,109.48999999999978,205.48999999999978,241.48999999999978,0.0,0.0,0.0,13384.1,241.48999999999978,0.018296623659612623,1.0,0.0
CLIENTE INDUSTRIAL,ALTA,PRIMARIA,2025-10-03 09:00:00.000000 UTC,9,09:00,21.72,0.0,0.0,22.2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,13320.1,13404.1,13440.1,0.02,0.02,0.02,0.29,0.25,0.26,86.88,0.0,0.0,88.8,13198.61,14400:120,50:5,121.48999999999978,205.48999999999978,241.48999999999978,0.0,0.0,0.0,13388.1,241.48999999999978,0.018296623659612623,1.0,0.0
CLIENTE INDUSTRIAL,ALTA,PRIMARIA,2025-10-17 14:45:00.000000 UTC,14,14:45,18.36,0.0,0.0,18.36,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,13308.1,13368.1,13440.1,0.02,0.02,0.02,0.28,0.22,0.25,73.44,0.0,0.0,73.44,13198.61,14400:120,50:5,109.48999999999978,169.48999999999978,241.48999999999978,0.0,0.0,0.0,13372.1,241.48999999999978,0.018296623659612623,1.0,0.0
CLIENTE INDUSTRIAL,ALTA,PRIMARIA,2025-10-19 06:30:00.000000 UTC,6,06:30,17.28,0.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,13308.1,13380.1,13440.1,0.02,0.02,0.02,0.12,0.09,0.11,69.12,0.0,0.0,72.0,13198.61,14400:120,50:5,109.48999999999978,181.48999999999978,241.48999999999978,0.0,0.0,0.0,13376.1,241.48999999999978,0.018296623659612623,1.0,0.0
CLIENTE INDUSTRIAL,ALTA,PRIMARIA,2025-10-14 05:00:00.000000 UTC,5,05:00,17.7,0.0,0.0,18.48,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,13308.1,13368.1,13440.1,0.02,0.03,0.03,0.11,0.07,0.09,70.8,0.0,0.0,73.92,13198.61,14400:120,50:5,109.48999999999978,169.48999999999978,241.48999999999978,0.0,0.0,0.0,13372.1,241.48999999999978,0.018296623659612623,1.0,0.0
